order_id,customer_id,order_date,order_status,payment_method,shipping_city,shipping_state
O50095,C1187,2025-10-25,Delivered,Credit Card,Jaipur,Tamil Nadu
O50096,C1157,2025-04-17,Shipped,COD,Pune,Maharashtra
O50097,C1108,2025-11-11,Delivered,Net Banking,Pune,West Bengal
O50098,C1288,2025-07-28,Delivered,Debit Card,Pune,Telangana
O50099,C1153,2025-03-03,Delivered,Debit Card,Ahmedabad,Gujarat
O50100,C1242,2025-05-14,Delivered,UPI,Ahmedabad,Karnataka
O50101,C1221,2025-01-03,Delivered,Credit Card,Pune,Maharashtra
O50102,C1167,2025-01-15,Cancelled,Debit Card,Lucknow,Tamil Nadu
O50103,C1265,2025-05-03,Shipped,COD,Hyderabad,Tamil Nadu
O50104,C1038,2025-06-15,Delivered,Credit Card,Pune,Karnataka
O50105,C1276,2025-10-19,Delivered,UPI,Delhi,Telangana
O50106,C1255,2025-02-19,Delivered,Debit Card,Chennai,Karnataka
O50107,C1151,2025-11-03,Returned,COD,Chennai,Maharashtra
O50108,C1220,2025-03-27,Cancelled,Debit Card,Lucknow,Maharashtra
O50109,C1156,2025-02-20,Cancelled,Credit Card,Kolkata,Gujarat
O50110,C1080,2025-09-13,Delivered,Net Banking,Delhi,West Bengal
O50111,C1239,2025-10-10,Delivered,Net Banking,Hyderabad,Uttar Pradesh
O50112,C1073,2025-08-09,Delivered,Credit Card,Kolkata,Uttar Pradesh
O50113,C1094,2025-02-12,Delivered,COD,Bengaluru,West Bengal
O50114,C1155,2025-02-12,Delivered,Debit Card,Bengaluru,Delhi
O50115,C1251,2025-05-23,Delivered,UPI,Jaipur,West Bengal
O50116,C1115,2025-06-14,Returned,Debit Card,Chennai,Tamil Nadu
O50117,C1148,2025-12-31,Delivered,COD,Kolkata,Gujarat
O50118,C1012,2025-04-15,Delivered,Credit Card,Bengaluru,Karnataka
O50119,C1034,2025-03-12,Shipped,Debit Card,Mumbai,Telangana
O50120,C1016,2025-12-12,Delivered,Net Banking,Hyderabad,Maharashtra
O50121,C1021,2025-02-26,Shipped,Net Banking,Lucknow,Maharashtra
O50122,C1260,2025-01-10,Delivered,COD,Chennai,Tamil Nadu
O50123,C1252,2025-06-04,Cancelled,UPI,Kolkata,Rajasthan
O50124,C1246,2025-05-27,Delivered,Debit Card,Noida,Gujarat
O50125,C1016,2025-08-15,Delivered,Debit Card,Lucknow,Rajasthan
O50126,C1023,2025-11-17,Delivered,UPI,Gurugram,Tamil Nadu
O50127,C1084,2025-12-07,Delivered,Net Banking,Lucknow,Telangana
O50128,C1169,2025-04-16,Delivered,UPI,Bengaluru,Maharashtra
O50129,C1100,2025-12-24,Delivered,Debit Card,Lucknow,Rajasthan
O50130,C1146,2025-08-19,Delivered,Credit Card,Ahmedabad,Maharashtra
O50131,C1051,2025-01-26,Shipped,UPI,Jaipur,Maharashtra
O50132,C1219,2025-12-09,Delivered,COD,Ahmedabad,Gujarat
O50133,C1094,2025-02-20,Delivered,Credit Card,Chennai,Tamil Nadu
O50134,C1019,2025-08-03,Delivered,Credit Card,Ahmedabad,Maharashtra
O50135,C1222,2025-10-16,Cancelled,COD,Gurugram,Gujarat
O50136,C1270,2025-04-02,Delivered,COD,Delhi,Uttar Pradesh
O50137,C1004,2025-04-09,Delivered,UPI,Hyderabad,Maharashtra
O50138,C1131,2025-06-23,Cancelled,Credit Card,Jaipur,Telangana
O50139,C1248,2025-11-19,Delivered,Net Banking,Jaipur,Karnataka
O50140,C1211,2025-03-23,Shipped,Net Banking,Hyderabad,West Bengal
O50141,C1256,2025-08-31,Delivered,COD,Hyderabad,Uttar Pradesh
O50142,C1124,2025-06-15,Delivered,Debit Card,Chennai,Telangana
O50143,C1111,2025-02-10,Delivered,UPI,Ahmedabad,Rajasthan
O50144,C1212,2025-09-17,Cancelled,COD,Ahmedabad,Tamil Nadu
O50145,C1046,2025-10-31,Delivered,UPI,Noida,Gujarat
O50146,C1071,2025-07-30,Delivered,UPI,Chennai,Maharashtra
O50147,C1180,2025-03-06,Delivered,Net Banking,Pune,Maharashtra
O50148,C1200,2025-02-26,Delivered,Net Banking,Jaipur,Karnataka
O50149,C1035,2025-06-04,Delivered,UPI,Hyderabad,Uttar Pradesh
O50150,C1152,2025-07-04,Delivered,UPI,Lucknow,Tamil Nadu
O50151,C1109,2025-07-21,Delivered,Debit Card,Bengaluru,Uttar Pradesh
O50152,C1150,2025-03-30,Delivered,Credit Card,Kolkata,Delhi
O50153,C1287,2025-07-02,Delivered,Net Banking,Noida,Telangana
O50154,C1022,2025-04-18,Delivered,Debit Card,Lucknow,Rajasthan
O50155,C1298,2025-09-08,Delivered,Debit Card,Noida,Karnataka
O50156,C1134,2025-10-18,Delivered,Debit Card,Pune,Telangana
O50157,C1231,2025-08-27,Delivered,Credit Card,Ahmedabad,Rajasthan
O50158,C1127,2025-01-01,Delivered,Credit Card,Lucknow,Telangana
O50159,C1093,2025-12-29,Delivered,Net Banking,Bengaluru,Gujarat
O50160,C1231,2025-01-09,Delivered,Debit Card,Bengaluru,Tamil Nadu
O50161,C1206,2025-12-31,Delivered,Debit Card,Delhi,West Bengal
O50162,C1043,2025-01-12,Shipped,Debit Card,Lucknow,Rajasthan
O50163,C1211,2025-07-08,Delivered,Credit Card,Delhi,Tamil Nadu
O50164,C1225,2025-02-08,Shipped,COD,Delhi,Delhi
O50165,C1116,2025-02-04,Delivered,Debit Card,Bengaluru,Karnataka
O50166,C1277,2025-09-07,Shipped,Net Banking,Delhi,Uttar Pradesh
O50167,C1192,2025-09-23,Delivered,COD,Noida,Telangana
O50168,C1100,2025-02-13,Delivered,COD,Chennai,Uttar Pradesh
O50169,C1003,2025-12-23,Delivered,Net Banking,Kolkata,Telangana
O50170,C1202,2025-04-27,Cancelled,Net Banking,Mumbai,Maharashtra
O50171,C1062,2025-04-27,Delivered,Debit Card,Jaipur,Delhi
O50172,C1226,2025-04-19,Delivered,Net Banking,Chennai,Uttar Pradesh
O50173,C1157,2025-06-18,Delivered,Credit Card,Gurugram,Telangana
O50174,C1140,2025-03-06,Shipped,Net Banking,Kolkata,Delhi
O50175,C1049,2025-06-05,Delivered,UPI,Chennai,Gujarat
O50176,C1213,2025-03-18,Delivered,COD,Jaipur,Rajasthan
O50177,C1049,2025-01-19,Delivered,Credit Card,Noida,West Bengal
O50178,C1125,2025-05-15,Cancelled,Net Banking,Gurugram,Haryana
O50179,C1250,2025-09-03,Delivered,UPI,Mumbai,Rajasthan
O50180,C1276,2025-10-06,Delivered,UPI,Pune,Tamil Nadu
O50181,C1296,2025-05-09,Returned,COD,Ahmedabad,Maharashtra
O50182,C1287,2025-04-29,Delivered,COD,Kolkata,Delhi
O50183,C1166,2025-10-15,Delivered,Credit Card,Hyderabad,Telangana
O50184,C1060,2025-09-06,Delivered,UPI,Hyderabad,Rajasthan
O50185,C1251,2025-10-31,Delivered,COD,Ahmedabad,Delhi
O50186,C1240,2025-11-27,Delivered,COD,Bengaluru,Delhi
O50187,C1297,2025-10-27,Delivered,UPI,Gurugram,Maharashtra
O50188,C1195,2025-12-08,Shipped,Net Banking,Noida,Telangana
O50189,C1042,2025-06-02,Shipped,Credit Card,Mumbai,Karnataka
O50190,C1150,2025-05-25,Delivered,Net Banking,Chennai,Karnataka
O50191,C1134,2025-04-28,Delivered,Debit Card,Bengaluru,Maharashtra
O50192,C1252,2025-03-27,Delivered,UPI,Bengaluru,Delhi
O50193,C1117,2025-10-01,Returned,Credit Card,Bengaluru,Delhi
O50194,C1098,2025-09-18,Delivered,Debit Card,Lucknow,Uttar Pradesh
O50195,C1024,2025-10-20,Delivered,Net Banking,Lucknow,West Bengal
O50196,C1250,2025-03-03,Delivered,UPI,Noida,Rajasthan
O50197,C1226,2025-06-29,Delivered,COD,Noida,Karnataka
O50198,C1012,2025-03-23,Delivered,Net Banking,Gurugram,Delhi
O50199,C1130,2025-11-22,Shipped,COD,Ahmedabad,Maharashtra
O50200,C1143,2025-04-08,Delivered,COD,Bengaluru,Uttar Pradesh
O50201,C1140,2025-02-22,Cancelled,UPI,Ahmedabad,Haryana
O50202,C1275,2025-07-28,Delivered,UPI,Chennai,Karnataka
O50203,C1045,2025-11-17,Shipped,Net Banking,Hyderabad,Telangana
O50204,C1091,2025-12-01,Cancelled,UPI,Mumbai,Maharashtra
O50205,C1054,2025-02-05,Returned,UPI,Pune,Karnataka
O50206,C1073,2025-04-29,Delivered,Debit Card,Noida,Karnataka
O50207,C1272,2025-02-26,Delivered,COD,Hyderabad,Karnataka
O50208,C1282,2025-04-23,Delivered,Net Banking,Mumbai,West Bengal
O50209,C1013,2025-07-14,Delivered,Debit Card,Mumbai,Telangana
O50210,C1189,2025-04-13,Delivered,UPI,Delhi,Delhi
O50211,C1069,2025-01-25,Returned,Credit Card,Jaipur,Delhi
O50212,C1057,2025-07-06,Returned,Net Banking,Lucknow,Maharashtra
O50213,C1087,2025-01-20,Delivered,UPI,Bengaluru,Gujarat
O50214,C1058,2025-03-24,Delivered,Debit Card,Hyderabad,Delhi
O50215,C1147,2025-01-01,Cancelled,UPI,Lucknow,Delhi
O50216,C1298,2025-02-01,Cancelled,Credit Card,Hyderabad,West Bengal
O50217,C1175,2025-06-09,Delivered,Credit Card,Chennai,Karnataka
O50218,C1216,2025-11-07,Delivered,Net Banking,Bengaluru,Haryana
O50219,C1147,2025-10-10,Shipped,COD,Hyderabad,Haryana
O50220,C1004,2025-02-06,Delivered,UPI,Hyderabad,Tamil Nadu
O50221,C1025,2025-01-13,Delivered,Net Banking,Kolkata,Telangana
O50222,C1080,2025-05-04,Returned,Net Banking,Chennai,Tamil Nadu
O50223,C1073,2025-08-27,Returned,COD,Hyderabad,Maharashtra
O50224,C1252,2025-09-30,Cancelled,COD,Delhi,Telangana
O50225,C1253,2025-10-28,Shipped,UPI,Ahmedabad,Gujarat
O50226,C1256,2025-05-05,Delivered,Net Banking,Ahmedabad,Maharashtra
O50227,C1191,2025-03-03,Delivered,Debit Card,Gurugram,Maharashtra
O50228,C1166,2025-01-10,Delivered,UPI,Mumbai,Uttar Pradesh
O50229,C1194,2025-02-23,Delivered,Credit Card,Lucknow,Tamil Nadu
O50230,C1122,2025-01-24,Delivered,COD,Mumbai,Delhi
O50231,C1201,2025-11-11,Delivered,Debit Card,Jaipur,Haryana
O50232,C1238,2025-04-08,Delivered,Credit Card,Jaipur,West Bengal
O50233,C1228,2025-10-28,Shipped,Credit Card,Ahmedabad,Delhi
O50234,C1184,2025-07-21,Delivered,COD,Delhi,Uttar Pradesh
O50235,C1017,2025-07-16,Delivered,Credit Card,Bengaluru,Maharashtra
O50236,C1217,2025-06-15,Delivered,UPI,Hyderabad,Maharashtra
O50237,C1109,2025-10-27,Delivered,Debit Card,Ahmedabad,Telangana
O50238,C1223,2025-01-16,Cancelled,COD,Gurugram,Tamil Nadu
O50239,C1161,2025-02-03,Delivered,UPI,Mumbai,Karnataka
O50240,C1264,2025-06-04,Delivered,Credit Card,Gurugram,Gujarat
O50241,C1101,2025-05-24,Shipped,Debit Card,Jaipur,Uttar Pradesh
O50242,C1279,2025-07-19,Delivered,UPI,Lucknow,Haryana
O50243,C1253,2025-09-27,Delivered,Net Banking,Noida,West Bengal
O50244,C1099,2025-08-03,Delivered,Credit Card,Gurugram,Maharashtra
O50245,C1144,2025-04-04,Delivered,UPI,Mumbai,Uttar Pradesh
O50246,C1159,2025-04-30,Delivered,Credit Card,Ahmedabad,Maharashtra
O50247,C1230,2025-10-02,Delivered,COD,Bengaluru,Maharashtra
O50248,C1206,2025-03-15,Delivered,COD,Mumbai,West Bengal
O50249,C1255,2025-07-04,Delivered,Debit Card,Mumbai,Rajasthan
O50250,C1110,2025-07-16,Delivered,Debit Card,Chennai,Uttar Pradesh
O50251,C1151,2025-10-01,Delivered,COD,Pune,Telangana
O50252,C1129,2025-09-18,Cancelled,UPI,Noida,Maharashtra
O50253,C1272,2025-06-19,Delivered,Net Banking,Jaipur,Tamil Nadu
O50254,C1091,2025-04-23,Delivered,Net Banking,Bengaluru,Telangana
O50255,C1176,2025-05-15,Delivered,Net Banking,Mumbai,Uttar Pradesh
O50256,C1036,2025-05-31,Delivered,Credit Card,Kolkata,Uttar Pradesh
O50257,C1255,2025-03-22,Delivered,Net Banking,Kolkata,Tamil Nadu
O50258,C1115,2025-08-17,Shipped,Net Banking,Noida,West Bengal
O50259,C1102,2025-03-18,Cancelled,COD,Delhi,Gujarat
O50260,C1174,2025-08-25,Delivered,UPI,Delhi,Haryana
O50261,C1149,2025-10-02,Delivered,Net Banking,Jaipur,West Bengal
O50262,C1254,2025-12-18,Cancelled,COD,Chennai,Rajasthan
O50263,C1159,2025-02-13,Delivered,Credit Card,Jaipur,Uttar Pradesh
O50264,C1155,2025-10-05,Delivered,Net Banking,Chennai,Gujarat
O50265,C1031,2025-02-01,Delivered,UPI,Pune,West Bengal
O50266,C1006,2025-05-04,Delivered,Net Banking,Chennai,Maharashtra
O50267,C1119,2025-03-06,Shipped,Net Banking,Kolkata,Karnataka
O50268,C1299,2025-03-01,Delivered,UPI,Pune,Karnataka
O50269,C1275,2025-03-06,Returned,UPI,Ahmedabad,Uttar Pradesh
O50270,C1188,2025-01-17,Delivered,Net Banking,Ahmedabad,Uttar Pradesh
O50271,C1189,2025-10-28,Delivered,Credit Card,Jaipur,Rajasthan
O50272,C1117,2025-01-23,Delivered,Debit Card,Lucknow,Tamil Nadu
O50273,C1053,2025-05-26,Delivered,UPI,Pune,Uttar Pradesh
O50274,C1002,2025-09-13,Delivered,COD,Noida,Gujarat
O50275,C1101,2025-12-28,Delivered,Debit Card,Bengaluru,Uttar Pradesh
O50276,C1094,2025-11-08,Delivered,COD,Kolkata,Haryana
O50277,C1057,2025-02-20,Delivered,UPI,Jaipur,Delhi
O50278,C1077,2025-12-27,Delivered,Credit Card,Pune,Uttar Pradesh
O50279,C1007,2025-08-27,Delivered,Net Banking,Mumbai,Karnataka
O50280,C1182,2025-03-07,Delivered,Net Banking,Bengaluru,Haryana
O50281,C1278,2025-06-13,Delivered,Net Banking,Jaipur,Delhi
O50282,C1207,2025-12-02,Shipped,COD,Delhi,Maharashtra
O50283,C1134,2025-05-24,Shipped,COD,Mumbai,West Bengal
O50284,C1126,2025-03-09,Delivered,UPI,Gurugram,Uttar Pradesh
O50285,C1092,2025-11-16,Delivered,Credit Card,Jaipur,Telangana
O50286,C1042,2025-12-14,Delivered,COD,Bengaluru,Tamil Nadu
O50287,C1179,2025-12-23,Delivered,Debit Card,Noida,Gujarat
O50288,C1169,2025-12-15,Delivered,COD,Mumbai,Gujarat
O50289,C1002,2025-11-15,Delivered,Debit Card,Delhi,Maharashtra
O50290,C1124,2025-06-15,Delivered,UPI,Bengaluru,Uttar Pradesh
O50291,C1083,2025-03-12,Delivered,Debit Card,Lucknow,Telangana
O50292,C1051,2025-08-14,Delivered,COD,Hyderabad,Uttar Pradesh
O50293,C1210,2025-03-22,Delivered,Net Banking,Ahmedabad,Uttar Pradesh
O50294,C1157,2025-06-22,Shipped,UPI,Kolkata,Uttar Pradesh
O50295,C1190,2025-08-28,Cancelled,Credit Card,Ahmedabad,Gujarat
O50296,C1214,2025-12-12,Delivered,COD,Mumbai,West Bengal
O50297,C1294,2025-04-16,Cancelled,COD,Lucknow,Haryana
O50298,C1240,2025-04-02,Delivered,Net Banking,Gurugram,Gujarat
O50299,C1186,2025-09-26,Cancelled,UPI,Bengaluru,Uttar Pradesh
O50300,C1263,2025-01-03,Returned,Net Banking,Kolkata,West Bengal
O50301,C1143,2025-07-26,Delivered,COD,Mumbai,Haryana
O50302,C1295,2025-09-30,Shipped,Net Banking,Mumbai,Delhi
O50303,C1228,2025-07-21,Returned,Debit Card,Noida,Rajasthan
O50304,C1195,2025-05-21,Cancelled,Debit Card,Delhi,Gujarat
O50305,C1270,2025-10-30,Returned,Credit Card,Hyderabad,Uttar Pradesh
O50306,C1154,2025-05-16,Delivered,Credit Card,Lucknow,Uttar Pradesh
O50307,C1216,2025-09-17,Delivered,Net Banking,Gurugram,Tamil Nadu
O50308,C1085,2025-06-19,Cancelled,UPI,Bengaluru,Delhi
O50309,C1288,2025-01-10,Delivered,UPI,Lucknow,West Bengal
O50310,C1187,2025-07-13,Delivered,Credit Card,Jaipur,Gujarat
O50311,C1234,2025-01-19,Delivered,Net Banking,Delhi,Rajasthan
O50312,C1138,2025-12-06,Delivered,Net Banking,Hyderabad,Haryana
O50313,C1260,2025-08-08,Delivered,Debit Card,Noida,Haryana
O50314,C1022,2025-05-16,Shipped,Debit Card,Gurugram,West Bengal
O50315,C1034,2025-06-27,Delivered,UPI,Gurugram,Delhi
O50316,C1152,2025-08-15,Shipped,Credit Card,Chennai,Telangana
O50317,C1219,2025-04-05,Cancelled,UPI,Gurugram,Karnataka
O50318,C1242,2025-04-16,Delivered,Net Banking,Mumbai,West Bengal
O50319,C1132,2025-06-02,Delivered,Net Banking,Gurugram,Haryana
O50320,C1194,2025-04-05,Delivered,Credit Card,Pune,Rajasthan
O50321,C1165,2025-10-04,Returned,Credit Card,Chennai,West Bengal
O50322,C1288,2025-02-07,Shipped,Credit Card,Pune,Haryana
O50323,C1196,2025-10-29,Delivered,COD,Mumbai,Maharashtra
O50324,C1125,2025-05-08,Delivered,Debit Card,Hyderabad,Delhi
O50325,C1290,2025-07-24,Delivered,Net Banking,Chennai,Karnataka
O50326,C1032,2025-02-27,Delivered,Debit Card,Delhi,Maharashtra
O50327,C1295,2025-05-21,Returned,Net Banking,Ahmedabad,Uttar Pradesh
O50328,C1046,2025-10-03,Shipped,Debit Card,Ahmedabad,Telangana
O50329,C1086,2025-04-09,Delivered,Credit Card,Chennai,Telangana
O50330,C1246,2025-02-18,Cancelled,COD,Hyderabad,Uttar Pradesh
O50331,C1220,2025-07-10,Delivered,Net Banking,Kolkata,Haryana
O50332,C1291,2025-03-01,Cancelled,Net Banking,Bengaluru,Delhi
O50333,C1224,2025-04-25,Delivered,COD,Pune,West Bengal
O50334,C1191,2025-06-14,Delivered,Credit Card,Pune,Maharashtra
O50335,C1103,2025-07-25,Cancelled,UPI,Noida,Delhi
O50336,C1001,2025-08-22,Delivered,Debit Card,Ahmedabad,Haryana
O50337,C1037,2025-09-04,Delivered,Credit Card,Mumbai,Uttar Pradesh
O50338,C1089,2025-11-05,Returned,Debit Card,Mumbai,Maharashtra
O50339,C1012,2025-01-25,Delivered,Credit Card,Lucknow,West Bengal
O50340,C1152,2025-05-13,Delivered,Credit Card,Hyderabad,Karnataka
O50341,C1233,2025-01-01,Delivered,Credit Card,Chennai,Haryana
O50342,C1288,2025-01-04,Delivered,Credit Card,Gurugram,Maharashtra
O50343,C1146,2025-03-19,Delivered,Net Banking,Mumbai,Delhi
O50344,C1262,2025-08-07,Delivered,Debit Card,Kolkata,West Bengal
O50345,C1295,2025-11-23,Shipped,Debit Card,Bengaluru,Maharashtra
O50346,C1257,2025-10-10,Delivered,UPI,Noida,Karnataka
O50347,C1139,2025-08-24,Delivered,Debit Card,Ahmedabad,Uttar Pradesh
O50348,C1097,2025-10-12,Cancelled,UPI,Pune,Rajasthan
O50349,C1293,2025-03-04,Delivered,Credit Card,Kolkata,Haryana
O50350,C1072,2025-11-03,Cancelled,Debit Card,Pune,Telangana
O50351,C1123,2025-11-21,Delivered,UPI,Hyderabad,Gujarat
O50352,C1022,2025-02-04,Returned,Credit Card,Jaipur,West Bengal
O50353,C1238,2025-06-21,Delivered,Credit Card,Ahmedabad,Tamil Nadu
O50354,C1194,2025-10-30,Delivered,COD,Gurugram,Gujarat
O50355,C1025,2025-06-23,Cancelled,COD,Kolkata,Haryana
O50356,C1066,2025-11-03,Delivered,UPI,Ahmedabad,Uttar Pradesh
O50357,C1166,2025-12-08,Delivered,Net Banking,Chennai,Telangana
O50358,C1162,2025-06-23,Delivered,Net Banking,Noida,Maharashtra
O50359,C1240,2025-01-22,Delivered,Credit Card,Gurugram,Maharashtra
O50360,C1079,2025-05-05,Delivered,Debit Card,Gurugram,West Bengal
O50361,C1277,2025-03-20,Delivered,Net Banking,Noida,Uttar Pradesh
O50362,C1133,2025-06-23,Delivered,Credit Card,Jaipur,West Bengal
O50363,C1246,2025-08-02,Delivered,UPI,Lucknow,Delhi
O50364,C1071,2025-06-19,Delivered,Credit Card,Hyderabad,Karnataka
O50365,C1011,2025-03-13,Delivered,Credit Card,Chennai,West Bengal
O50366,C1016,2025-04-20,Delivered,Credit Card,Jaipur,Maharashtra
O50367,C1111,2025-09-06,Delivered,Credit Card,Pune,Rajasthan
