order_item_id,order_id,product_id,quantity,discount
OI700096,O50048,P2009,3,0.2
OI700097,O50049,P2011,3,0.05
OI700098,O50049,P2009,3,0.05
OI700099,O50050,P2008,2,0.15
OI700100,O50050,P2012,3,0.05
OI700101,O50051,P2011,1,0.2
OI700102,O50051,P2005,5,0.15
OI700103,O50052,P2011,1,0.1
OI700104,O50052,P2002,2,0.0
OI700105,O50052,P2009,4,0.15
OI700106,O50053,P2004,4,0.2
OI700107,O50054,P2001,3,0.0
OI700108,O50054,P2010,1,0.2
OI700109,O50054,P2002,1,0.2
OI700110,O50055,P2006,4,0.05
OI700111,O50055,P2009,3,0.05
OI700112,O50056,P2001,2,0.1
OI700113,O50056,P2002,1,0.15
OI700114,O50057,P2002,4,0.15
OI700115,O50057,P2001,2,0.05
OI700116,O50058,P2001,5,0.05
OI700117,O50058,P2002,5,0.0
OI700118,O50058,P2002,5,0.1
OI700119,O50059,P2009,4,0.15
OI700120,O50059,P2001,3,0.05
OI700121,O50060,P2007,1,0.2
OI700122,O50060,P2004,2,0.2
OI700123,O50060,P2010,5,0.15
OI700124,O50061,P2002,3,0.05
OI700125,O50061,P2005,2,0.05
OI700126,O50061,P2006,5,0.15
OI700127,O50062,P2006,3,0.05
OI700128,O50062,P2007,4,0.05
OI700129,O50063,P2009,3,0.05
OI700130,O50063,P2007,4,0.05
OI700131,O50064,P2009,2,0.05
OI700132,O50064,P2011,2,0.1
OI700133,O50065,P2012,3,0.15
OI700134,O50066,P2005,2,0.15
OI700135,O50066,P2011,1,0.2
OI700136,O50067,P2002,1,0.15
OI700137,O50067,P2011,2,0.15
OI700138,O50067,P2012,2,0.05
OI700139,O50068,P2004,3,0.1
OI700140,O50068,P2007,2,0.15
OI700141,O50068,P2009,2,0.1
OI700142,O50069,P2003,5,0.1
OI700143,O50070,P2011,4,0.15
OI700144,O50070,P2009,3,0.15
OI700145,O50071,P2011,1,0.2
OI700146,O50072,P2002,4,0.2
OI700147,O50072,P2007,2,0.2
OI700148,O50072,P2007,1,0.05
OI700149,O50073,P2006,2,0.15
OI700150,O50073,P2002,2,0.1
OI700151,O50073,P2001,2,0.2
OI700152,O50074,P2011,2,0.0
OI700153,O50074,P2010,2,0.15
OI700154,O50074,P2002,4,0.1
OI700155,O50075,P2002,3,0.2
OI700156,O50075,P2005,4,0.0
OI700157,O50075,P2009,2,0.1
OI700158,O50076,P2008,3,0.0
OI700159,O50076,P2005,5,0.05
OI700160,O50076,P2008,3,0.05
OI700161,O50077,P2005,2,0.1
OI700162,O50077,P2010,5,0.15
OI700163,O50077,P2008,4,0.05
OI700164,O50078,P2006,4,0.15
OI700165,O50079,P2010,2,0.2
OI700166,O50080,P2012,4,0.1
OI700167,O50080,P2003,2,0.2
OI700168,O50080,P2005,1,0.05
OI700169,O50081,P2008,5,0.2
OI700170,O50081,P2007,3,0.2
OI700171,O50082,P2008,3,0.15
OI700172,O50083,P2008,4,0.15
OI700173,O50083,P2007,2,0.05
OI700174,O50083,P2009,4,0.05
OI700175,O50084,P2012,4,0.05
OI700176,O50084,P2012,2,0.1
OI700177,O50084,P2011,3,0.05
OI700178,O50085,P2005,4,0.15
OI700179,O50086,P2002,4,0.0
OI700180,O50087,P2006,3,0.05
OI700181,O50088,P2003,2,0.0
OI700182,O50089,P2005,1,0.05
OI700183,O50090,P2001,4,0.15
OI700184,O50090,P2007,4,0.2
OI700185,O50091,P2003,2,0.15
OI700186,O50092,P2012,3,0.1
OI700187,O50092,P2005,1,0.1
OI700188,O50092,P2007,2,0.15
OI700189,O50093,P2004,5,0.0
OI700190,O50093,P2011,4,0.05
OI700191,O50093,P2008,2,0.15
OI700192,O50094,P2003,2,0.0
OI700193,O50095,P2008,4,0.1
OI700194,O50096,P2003,5,0.05
OI700195,O50097,P2006,1,0.05
OI700196,O50098,P2004,4,0.1
OI700197,O50098,P2005,4,0.1
OI700198,O50098,P2004,2,0.2
OI700199,O50099,P2012,3,0.2
OI700200,O50100,P2007,4,0.05
OI700201,O50100,P2003,3,0.15
OI700202,O50101,P2010,4,0.0
OI700203,O50102,P2001,4,0.1
OI700204,O50102,P2008,4,0.15
OI700205,O50102,P2008,5,0.15
OI700206,O50103,P2005,2,0.05
OI700207,O50103,P2008,3,0.0
OI700208,O50103,P2003,5,0.15
OI700209,O50104,P2003,1,0.05
OI700210,O50104,P2011,3,0.15
OI700211,O50104,P2006,3,0.15
OI700212,O50105,P2006,3,0.2
OI700213,O50105,P2005,5,0.1
OI700214,O50105,P2011,3,0.15
OI700215,O50106,P2008,2,0.15
OI700216,O50107,P2006,3,0.05
OI700217,O50107,P2009,3,0.1
OI700218,O50107,P2001,1,0.0
OI700219,O50108,P2011,1,0.0
OI700220,O50108,P2010,3,0.05
OI700221,O50108,P2008,2,0.0
OI700222,O50109,P2011,4,0.0
OI700223,O50109,P2007,5,0.2
OI700224,O50110,P2002,2,0.05
OI700225,O50110,P2002,1,0.05
OI700226,O50110,P2007,2,0.1
OI700227,O50111,P2002,5,0.1
OI700228,O50112,P2010,5,0.2
OI700229,O50113,P2008,5,0.2
OI700230,O50114,P2011,3,0.1
OI700231,O50115,P2010,1,0.1
OI700232,O50115,P2010,3,0.05
OI700233,O50116,P2007,4,0.1
OI700234,O50117,P2008,3,0.0
OI700235,O50117,P2007,1,0.15
OI700236,O50117,P2002,5,0.05
OI700237,O50118,P2002,2,0.2
OI700238,O50118,P2004,3,0.2
OI700239,O50119,P2001,2,0.05
OI700240,O50119,P2004,2,0.1
OI700241,O50120,P2004,3,0.05
OI700242,O50120,P2003,3,0.2
OI700243,O50121,P2008,5,0.15
OI700244,O50121,P2003,2,0.1
OI700245,O50122,P2002,1,0.05
OI700246,O50122,P2011,4,0.2
OI700247,O50123,P2005,3,0.1
OI700248,O50124,P2005,1,0.2
OI700249,O50124,P2012,1,0.1
OI700250,O50125,P2010,5,0.1
OI700251,O50125,P2009,5,0.2
OI700252,O50126,P2010,3,0.0
OI700253,O50127,P2011,2,0.1
OI700254,O50127,P2005,1,0.2
OI700255,O50127,P2001,3,0.0
OI700256,O50128,P2011,4,0.15
OI700257,O50128,P2010,5,0.2
OI700258,O50128,P2003,3,0.2
OI700259,O50129,P2009,1,0.2
OI700260,O50130,P2009,5,0.05
OI700261,O50130,P2006,5,0.0
OI700262,O50131,P2004,3,0.1
OI700263,O50131,P2009,5,0.05
OI700264,O50131,P2003,3,0.15
OI700265,O50132,P2010,2,0.2
OI700266,O50132,P2001,1,0.0
OI700267,O50132,P2012,1,0.15
OI700268,O50133,P2010,5,0.0
OI700269,O50133,P2005,3,0.15
OI700270,O50133,P2008,3,0.05
OI700271,O50134,P2006,2,0.1
OI700272,O50135,P2007,3,0.0
OI700273,O50135,P2008,3,0.0
OI700274,O50135,P2003,4,0.2
OI700275,O50136,P2012,1,0.05
OI700276,O50136,P2012,1,0.15
OI700277,O50137,P2004,3,0.05
OI700278,O50138,P2012,3,0.1
OI700279,O50138,P2001,2,0.0
OI700280,O50138,P2011,2,0.05
OI700281,O50139,P2009,4,0.0
OI700282,O50139,P2007,3,0.05
OI700283,O50139,P2009,5,0.05
OI700284,O50140,P2004,5,0.0
OI700285,O50141,P2010,3,0.1
OI700286,O50141,P2011,4,0.05
OI700287,O50141,P2001,4,0.0
OI700288,O50142,P2012,3,0.15
OI700289,O50143,P2002,1,0.05
OI700290,O50144,P2006,2,0.1
OI700291,O50145,P2004,3,0.0
OI700292,O50145,P2004,5,0.2
OI700293,O50146,P2012,3,0.0
OI700294,O50146,P2011,3,0.15
OI700295,O50147,P2004,4,0.1
OI700296,O50147,P2005,2,0.15
OI700297,O50148,P2002,5,0.05
OI700298,O50149,P2009,5,0.15
OI700299,O50149,P2009,5,0.2
OI700300,O50150,P2009,1,0.2
OI700301,O50151,P2003,1,0.15
OI700302,O50152,P2001,3,0.2
OI700303,O50153,P2006,4,0.1
OI700304,O50153,P2005,3,0.0
OI700305,O50154,P2009,2,0.0
OI700306,O50155,P2011,2,0.0
OI700307,O50156,P2007,3,0.2
OI700308,O50156,P2004,3,0.15
OI700309,O50156,P2008,2,0.15
OI700310,O50157,P2002,1,0.15
OI700311,O50157,P2002,5,0.0
OI700312,O50157,P2012,4,0.1
OI700313,O50158,P2005,4,0.15
OI700314,O50159,P2007,5,0.05
OI700315,O50160,P2003,5,0.0
OI700316,O50160,P2004,3,0.05
OI700317,O50160,P2003,4,0.0
OI700318,O50161,P2001,2,0.2
OI700319,O50161,P2002,1,0.15
OI700320,O50161,P2001,5,0.1
OI700321,O50162,P2003,1,0.2
OI700322,O50162,P2010,5,0.05
OI700323,O50162,P2005,3,0.1
OI700324,O50163,P2005,4,0.0
OI700325,O50164,P2004,1,0.0
OI700326,O50164,P2006,1,0.05
OI700327,O50165,P2011,1,0.1
OI700328,O50165,P2002,3,0.1
OI700329,O50166,P2006,5,0.0
OI700330,O50166,P2001,1,0.05
OI700331,O50166,P2003,1,0.05
OI700332,O50167,P2010,1,0.2
OI700333,O50167,P2003,3,0.05
OI700334,O50167,P2005,4,0.15
OI700335,O50168,P2008,4,0.0
OI700336,O50168,P2005,1,0.15
OI700337,O50169,P2008,3,0.05
OI700338,O50169,P2002,5,0.05
OI700339,O50170,P2004,5,0.05
OI700340,O50171,P2006,5,0.15
OI700341,O50171,P2001,3,0.1
OI700342,O50171,P2003,3,0.0
OI700343,O50172,P2010,1,0.1
OI700344,O50172,P2008,1,0.05
OI700345,O50172,P2004,1,0.2
OI700346,O50173,P2010,3,0.2
OI700347,O50173,P2012,4,0.05
OI700348,O50174,P2010,3,0.1
OI700349,O50174,P2003,5,0.15
OI700350,O50175,P2008,3,0.0
OI700351,O50176,P2011,5,0.05
OI700352,O50176,P2004,1,0.15
OI700353,O50176,P2004,5,0.2
OI700354,O50177,P2012,1,0.1
OI700355,O50178,P2012,4,0.2
OI700356,O50178,P2008,5,0.2
OI700357,O50179,P2005,2,0.2
OI700358,O50179,P2010,5,0.1
OI700359,O50179,P2012,4,0.15
OI700360,O50180,P2007,4,0.15
OI700361,O50181,P2004,2,0.2
OI700362,O50181,P2012,1,0.05
OI700363,O50181,P2012,1,0.15
OI700364,O50182,P2003,4,0.15
OI700365,O50183,P2011,2,0.1
OI700366,O50183,P2008,4,0.05
OI700367,O50184,P2006,3,0.2
OI700368,O50184,P2005,4,0.2
OI700369,O50185,P2012,3,0.05
OI700370,O50185,P2012,4,0.05
OI700371,O50185,P2004,2,0.2
OI700372,O50186,P2009,3,0.0
OI700373,O50187,P2010,4,0.1
OI700374,O50187,P2005,1,0.0
OI700375,O50188,P2008,1,0.2
OI700376,O50188,P2008,2,0.2
OI700377,O50189,P2012,2,0.05
OI700378,O50190,P2012,2,0.2
OI700379,O50190,P2005,2,0.15
OI700380,O50191,P2005,1,0.05
OI700381,O50191,P2007,1,0.0
OI700382,O50191,P2012,1,0.1
OI700383,O50192,P2004,3,0.0
OI700384,O50192,P2010,4,0.2
OI700385,O50192,P2011,2,0.0
OI700386,O50193,P2002,3,0.0
OI700387,O50193,P2012,4,0.05
OI700388,O50194,P2010,3,0.0
OI700389,O50194,P2005,3,0.15
OI700390,O50194,P2004,4,0.05
OI700391,O50195,P2006,1,0.1
OI700392,O50196,P2004,4,0.05
OI700393,O50196,P2009,4,0.15
OI700394,O50197,P2010,2,0.05
OI700395,O50198,P2005,4,0.0
OI700396,O50198,P2008,5,0.15
OI700397,O50198,P2007,5,0.05
OI700398,O50199,P2001,4,0.15
OI700399,O50199,P2010,4,0.0
OI700400,O50200,P2010,2,0.1
OI700401,O50200,P2011,3,0.15
OI700402,O50201,P2008,4,0.15
OI700403,O50201,P2010,5,0.05
OI700404,O50202,P2008,3,0.05
OI700405,O50202,P2006,4,0.05
OI700406,O50202,P2004,5,0.1
OI700407,O50203,P2001,1,0.2
OI700408,O50203,P2002,4,0.2
OI700409,O50204,P2011,3,0.2
OI700410,O50204,P2003,3,0.05
OI700411,O50205,P2001,5,0.0
OI700412,O50205,P2004,3,0.0
OI700413,O50205,P2006,5,0.2
OI700414,O50206,P2008,3,0.0
OI700415,O50207,P2007,4,0.05
OI700416,O50207,P2004,4,0.15
OI700417,O50208,P2003,3,0.2
OI700418,O50209,P2003,5,0.15
OI700419,O50210,P2010,5,0.0
OI700420,O50210,P2004,2,0.0
OI700421,O50210,P2010,4,0.0
OI700422,O50211,P2003,3,0.1
OI700423,O50212,P2012,2,0.1
OI700424,O50213,P2005,5,0.2
OI700425,O50213,P2001,3,0.0
OI700426,O50214,P2008,3,0.05
OI700427,O50214,P2004,2,0.05
OI700428,O50215,P2009,1,0.0
OI700429,O50215,P2007,4,0.05
OI700430,O50216,P2008,2,0.15
OI700431,O50217,P2002,3,0.05
OI700432,O50218,P2007,2,0.0
OI700433,O50218,P2002,4,0.05
OI700434,O50218,P2007,5,0.2
OI700435,O50219,P2002,4,0.15
OI700436,O50220,P2008,1,0.15
OI700437,O50221,P2004,3,0.05
OI700438,O50221,P2001,1,0.2
OI700439,O50221,P2006,1,0.0
OI700440,O50222,P2012,2,0.2
OI700441,O50222,P2006,4,0.15
OI700442,O50223,P2001,5,0.2
OI700443,O50224,P2008,5,0.2
OI700444,O50225,P2010,4,0.2
OI700445,O50226,P2008,1,0.05
OI700446,O50227,P2006,5,0.15
OI700447,O50228,P2006,2,0.15
OI700448,O50229,P2002,3,0.2
OI700449,O50230,P2003,1,0.2
OI700450,O50230,P2010,1,0.0
OI700451,O50231,P2005,5,0.0
OI700452,O50232,P2001,4,0.05
OI700453,O50232,P2012,3,0.05
OI700454,O50232,P2003,5,0.1
OI700455,O50233,P2009,3,0.15
OI700456,O50233,P2006,1,0.0
OI700457,O50234,P2007,3,0.15
OI700458,O50235,P2003,5,0.2
OI700459,O50235,P2008,3,0.0
OI700460,O50235,P2003,1,0.15
OI700461,O50236,P2003,1,0.0
OI700462,O50236,P2008,4,0.15
OI700463,O50237,P2001,1,0.15
OI700464,O50238,P2004,1,0.05
OI700465,O50238,P2010,1,0.15
OI700466,O50238,P2006,1,0.2
OI700467,O50239,P2009,1,0.05
OI700468,O50239,P2008,4,0.0
OI700469,O50240,P2012,4,0.05
OI700470,O50240,P2011,4,0.0
OI700471,O50241,P2012,2,0.0
OI700472,O50242,P2007,3,0.15
OI700473,O50242,P2012,4,0.0
OI700474,O50243,P2001,2,0.05
OI700475,O50244,P2005,1,0.2
OI700476,O50244,P2004,5,0.15
OI700477,O50244,P2011,5,0.0
OI700478,O50245,P2005,4,0.15
OI700479,O50245,P2007,2,0.2
OI700480,O50246,P2011,2,0.2
OI700481,O50246,P2004,3,0.2
OI700482,O50247,P2004,5,0.2
OI700483,O50247,P2004,2,0.05
OI700484,O50248,P2007,2,0.2
OI700485,O50249,P2008,3,0.15
OI700486,O50250,P2006,4,0.05
OI700487,O50251,P2007,2,0.0
OI700488,O50251,P2003,3,0.1
OI700489,O50251,P2011,4,0.0
OI700490,O50252,P2006,1,0.15
OI700491,O50252,P2007,1,0.1
OI700492,O50253,P2004,2,0.0
OI700493,O50253,P2003,5,0.15
OI700494,O50253,P2003,3,0.0
OI700495,O50254,P2002,4,0.1
OI700496,O50254,P2008,3,0.05
OI700497,O50255,P2003,3,0.1
OI700498,O50256,P2001,2,0.2
OI700499,O50256,P2011,5,0.05
OI700500,O50256,P2002,1,0.0
OI700501,O50257,P2011,5,0.15
OI700502,O50257,P2005,3,0.2
OI700503,O50257,P2010,3,0.2
OI700504,O50258,P2005,5,0.05
OI700505,O50258,P2010,3,0.05
OI700506,O50259,P2008,3,0.05
OI700507,O50260,P2001,1,0.2
OI700508,O50260,P2008,3,0.0
OI700509,O50260,P2008,3,0.1
OI700510,O50261,P2007,3,0.05
OI700511,O50262,P2012,4,0.15
OI700512,O50263,P2009,1,0.1
OI700513,O50263,P2011,2,0.2
OI700514,O50263,P2001,2,0.05
OI700515,O50264,P2003,2,0.15
OI700516,O50264,P2004,5,0.2
OI700517,O50265,P2007,2,0.05
OI700518,O50266,P2004,1,0.05
OI700519,O50266,P2012,2,0.05
OI700520,O50266,P2008,1,0.05
OI700521,O50267,P2012,5,0.15
OI700522,O50268,P2008,4,0.2
OI700523,O50269,P2009,1,0.1
OI700524,O50270,P2001,1,0.2
OI700525,O50270,P2001,4,0.1
OI700526,O50270,P2005,5,0.2
OI700527,O50271,P2001,1,0.0
OI700528,O50272,P2008,4,0.05
OI700529,O50272,P2011,4,0.15
OI700530,O50272,P2006,4,0.1
OI700531,O50273,P2008,2,0.2
OI700532,O50273,P2009,4,0.15
OI700533,O50274,P2012,2,0.1
OI700534,O50274,P2001,2,0.1
OI700535,O50275,P2012,4,0.1
OI700536,O50275,P2006,4,0.15
OI700537,O50276,P2008,3,0.0
OI700538,O50277,P2007,2,0.15
OI700539,O50277,P2009,5,0.0
OI700540,O50277,P2005,1,0.1
OI700541,O50278,P2006,5,0.1
OI700542,O50278,P2005,1,0.05
OI700543,O50279,P2006,5,0.1
OI700544,O50279,P2007,3,0.1
OI700545,O50279,P2001,1,0.1
OI700546,O50280,P2007,3,0.05
OI700547,O50280,P2009,4,0.0
OI700548,O50281,P2009,4,0.05
OI700549,O50281,P2012,4,0.1
OI700550,O50282,P2011,2,0.0
OI700551,O50282,P2006,1,0.2
OI700552,O50283,P2008,5,0.0
OI700553,O50283,P2008,3,0.05
OI700554,O50283,P2004,3,0.15
OI700555,O50284,P2008,5,0.0
OI700556,O50285,P2008,2,0.15
OI700557,O50285,P2008,4,0.0
OI700558,O50285,P2001,4,0.05
OI700559,O50286,P2006,4,0.0
OI700560,O50287,P2006,1,0.0
OI700561,O50287,P2011,1,0.1
OI700562,O50287,P2009,3,0.05
OI700563,O50288,P2009,3,0.0
OI700564,O50289,P2007,1,0.05
OI700565,O50290,P2010,4,0.15
OI700566,O50291,P2005,2,0.15
OI700567,O50292,P2003,4,0.1
OI700568,O50292,P2010,1,0.2
OI700569,O50292,P2006,2,0.0
OI700570,O50293,P2011,1,0.1
OI700571,O50293,P2009,3,0.0
OI700572,O50293,P2005,2,0.05
OI700573,O50294,P2003,4,0.2
OI700574,O50294,P2010,4,0.0
OI700575,O50294,P2002,4,0.15
OI700576,O50295,P2006,3,0.0
OI700577,O50295,P2004,3,0.0
OI700578,O50295,P2002,1,0.05
OI700579,O50296,P2009,5,0.05
OI700580,O50296,P2008,5,0.05
OI700581,O50296,P2008,4,0.2
OI700582,O50297,P2008,3,0.2
OI700583,O50297,P2009,2,0.15
OI700584,O50297,P2007,2,0.1
OI700585,O50298,P2011,3,0.0
OI700586,O50298,P2012,3,0.05
OI700587,O50299,P2005,2,0.2
OI700588,O50299,P2011,3,0.05
OI700589,O50299,P2011,1,0.15
OI700590,O50300,P2011,3,0.2
OI700591,O50300,P2001,4,0.0
OI700592,O50301,P2003,5,0.15
OI700593,O50301,P2002,5,0.05
OI700594,O50302,P2002,1,0.05
OI700595,O50302,P2007,3,0.2
OI700596,O50303,P2009,1,0.05
OI700597,O50304,P2002,3,0.2
OI700598,O50305,P2011,3,0.0
OI700599,O50305,P2005,5,0.0
OI700600,O50305,P2002,5,0.0
OI700601,O50306,P2010,4,0.1
OI700602,O50306,P2002,3,0.2
OI700603,O50306,P2011,3,0.2
OI700604,O50307,P2001,4,0.15
OI700605,O50307,P2007,4,0.2
OI700606,O50307,P2007,2,0.2
OI700607,O50308,P2009,4,0.0
OI700608,O50308,P2005,1,0.1
OI700609,O50308,P2010,2,0.2
OI700610,O50309,P2002,5,0.0
OI700611,O50310,P2010,2,0.0
OI700612,O50310,P2004,1,0.15
OI700613,O50310,P2011,5,0.2
OI700614,O50311,P2011,4,0.15
OI700615,O50311,P2012,2,0.1
OI700616,O50311,P2011,2,0.05
OI700617,O50312,P2004,3,0.2
OI700618,O50313,P2009,4,0.2
OI700619,O50314,P2002,3,0.2
OI700620,O50314,P2011,4,0.2
OI700621,O50314,P2009,1,0.2
OI700622,O50315,P2005,2,0.15
OI700623,O50316,P2008,5,0.15
OI700624,O50317,P2011,2,0.15
OI700625,O50318,P2001,1,0.0
OI700626,O50318,P2012,5,0.1
OI700627,O50319,P2001,5,0.05
OI700628,O50319,P2001,4,0.05
OI700629,O50319,P2004,4,0.05
OI700630,O50320,P2003,1,0.05
OI700631,O50320,P2008,2,0.0
OI700632,O50320,P2009,3,0.1
OI700633,O50321,P2001,1,0.15
OI700634,O50322,P2003,5,0.05
OI700635,O50323,P2005,5,0.2
OI700636,O50323,P2006,4,0.1
OI700637,O50323,P2012,2,0.2
OI700638,O50324,P2008,2,0.2
OI700639,O50324,P2009,5,0.2
OI700640,O50325,P2011,5,0.05
OI700641,O50326,P2007,2,0.05
OI700642,O50326,P2005,1,0.15
OI700643,O50326,P2009,4,0.1
OI700644,O50327,P2009,5,0.0
OI700645,O50327,P2005,5,0.2
OI700646,O50328,P2003,3,0.0
OI700647,O50328,P2011,3,0.05
OI700648,O50328,P2002,4,0.2
OI700649,O50329,P2012,5,0.15
OI700650,O50329,P2010,5,0.1
OI700651,O50329,P2010,5,0.0
OI700652,O50330,P2005,1,0.0
OI700653,O50330,P2002,5,0.15
OI700654,O50330,P2002,4,0.15
OI700655,O50331,P2008,5,0.1
OI700656,O50331,P2008,3,0.05
OI700657,O50332,P2005,4,0.15
OI700658,O50332,P2009,4,0.15
OI700659,O50332,P2007,4,0.1
OI700660,O50333,P2009,5,0.15
OI700661,O50333,P2010,5,0.05
OI700662,O50334,P2005,4,0.2
OI700663,O50335,P2010,1,0.15
OI700664,O50335,P2009,3,0.15
OI700665,O50336,P2007,4,0.15
OI700666,O50336,P2003,2,0.1
OI700667,O50337,P2005,2,0.05
OI700668,O50338,P2007,4,0.05
OI700669,O50338,P2011,3,0.15
OI700670,O50339,P2003,3,0.05
OI700671,O50340,P2002,3,0.15
OI700672,O50340,P2009,2,0.05
OI700673,O50341,P2007,4,0.05
OI700674,O50341,P2009,5,0.05
OI700675,O50342,P2004,2,0.15
OI700676,O50342,P2008,3,0.05
OI700677,O50342,P2002,5,0.2
OI700678,O50343,P2007,5,0.1
OI700679,O50343,P2001,1,0.05
OI700680,O50343,P2005,5,0.05
OI700681,O50344,P2004,4,0.1
OI700682,O50344,P2002,3,0.0
OI700683,O50345,P2009,5,0.2
OI700684,O50345,P2003,4,0.0
OI700685,O50345,P2012,4,0.15
OI700686,O50346,P2011,5,0.0
OI700687,O50346,P2001,5,0.05
OI700688,O50346,P2006,1,0.15
OI700689,O50347,P2011,3,0.15
OI700690,O50347,P2007,3,0.1
OI700691,O50347,P2012,2,0.1
OI700692,O50348,P2007,1,0.05
OI700693,O50348,P2008,4,0.15
OI700694,O50349,P2009,3,0.05
OI700695,O50349,P2005,5,0.1
OI700696,O50349,P2009,1,0.0
OI700697,O50350,P2003,4,0.15
OI700698,O50351,P2004,3,0.0
OI700699,O50351,P2006,1,0.0
OI700700,O50352,P2002,3,0.1
OI700701,O50353,P2006,1,0.0
OI700702,O50353,P2009,5,0.05
OI700703,O50354,P2004,2,0.05
OI700704,O50355,P2010,4,0.2
OI700705,O50355,P2005,3,0.05
OI700706,O50356,P2005,2,0.1
OI700707,O50357,P2009,5,0.2
OI700708,O50358,P2002,5,0.2
OI700709,O50359,P2004,3,0.1
OI700710,O50359,P2011,3,0.0
OI700711,O50360,P2010,2,0.0
OI700712,O50360,P2002,5,0.1
OI700713,O50360,P2007,5,0.0
OI700714,O50361,P2010,3,0.0
OI700715,O50362,P2002,4,0.15
OI700716,O50362,P2010,3,0.05
OI700717,O50362,P2011,3,0.15
OI700718,O50363,P2008,3,0.05
OI700719,O50364,P2002,4,0.2
OI700720,O50364,P2007,1,0.1
OI700721,O50364,P2007,3,0.05
OI700722,O50365,P2004,3,0.1
OI700723,O50365,P2008,4,0.2
OI700724,O50366,P2010,5,0.05
OI700725,O50366,P2004,3,0.1
OI700726,O50366,P2009,1,0.0
OI700727,O50367,P2010,2,0.05
OI700728,O50367,P2007,3,0.0
OI700729,O50367,P2007,5,0.15
OI700730,O50368,P2008,5,0.05
OI700731,O50368,P2001,1,0.2
OI700732,O50368,P2008,2,0.2
OI700733,O50369,P2008,2,0.0
OI700734,O50370,P2003,3,0.0
